Company Name,Ticker,Last Close
"AGBA Group Holding Limited","AGBA","2.42"
"Andes Gold","AGCZ",".0001"
"AgeX Therapeutics","AGE",".75"
"Agenus","AGEN","2.61"
"AgroFresh Solutions","AGFS","3"
"Agrify","AGFY",".5071"
"Alamos Gold","AGI","11.04"
"AgileThought","AGIL","4.31"
"Aeglea BioTherapeutics","AGLE",".5"
"AGM Group Holdings","AGMH","1.665"
"AGNC Investment","AGNC","11.6"
"Agile Property Holdings","AGPYY","16.02"
"AgriFORCE Growing Systems","AGRI","1.24"
"Adecoagro","AGRO","8.45"
"Agile Therapeutics","AGRX",".27"
"PlayAGS","AGS","6.61"
"Agiliti","AGTI","18.45"
"Agritek Holdings","AGTK",".0001"
"Allergy Therapeutics","AGYTF",".159"
"Alpha Technologies Group","AHAG",".0001"
"Anhui Conch Cement","AHCHY","18.95"
"Adecco","AHEXY","18.52"
"Akso Health Group","AHG",".42"
"Armada Hoffler Properties","AHH","12.68"
"Advanced Human Imaging","AHI",".481"
"COREwafer Industries","AHIX",".013"
"Asahi Kasei","AHKSY","15.12"
"Athena Gold","AHNR",".0561"
"Allied Healthcare Products","AHPI",".5501"
"Ahren Acquisition Corp.","AHRN","10.3"
"Ashford Hospitality Trust","AHT","6.89"
"C3.ai","AI","19.85"
"AiAdvertising, Inc.","AIAD",".0078"
"AIB Acquisition","AIB","10.4"
"Agent Information Software","AIFS","1.9305"
"Artistmss International Group","AIGI",".0036"
"Aesthetic Medical International","AIH","1.7"
"Senmiao Technology","AIHS",".98"
"AIM ImmunoTech","AIM",".5201"
"Ainos","AIMD",".79"
"Ashford","AINC","13.52"
"Arteris","AIP","6.28"
"Airgain","AIRG","8"
"Air Industries Group","AIRI","5.23"
"AirSculpt Technologies","AIRS","5.82"
"Air China","AIRYY","19.18"
"Meta Data","AIU","1.1673"
"Apartment Investment and Management","AIV","7.51"
"American International Ventures","AIVN",".0002"
"Ashmore Group","AJMPF","2.75"
"Great Ajax","AJX","8.77"
"a.k.a. Brands Holding Corp.","AKA","1.52"
"Akanda Corp.","AKAN",".315"
"Akebia Therapeutics","AKBA",".63"
"Akbank Turk Anonim Sirketi","AKBTY","1.74"
"Akili, Inc.","AKLI","1.58"
"Embotelladora Andina","AKO.A","12.33"
"Embotelladora Andina","AKO.B","15.26"
"Acadia Realty Trust","AKR","15.53"
"Akoustis Technologies","AKTS","3.69"
"Akari Therapeutics","AKTX",".4668"
"Akumin","AKU",".9"
"Akoya Biosciences","AKYA","11.25"
"Alanco Technologies","ALAN",".0299"
